SKU,Product_Name,Category,Seller_ID,Selling_Price,Cost_Price,Weight_kg,Volume_cbm,ABC_Category,Supplier,Lead_Time_Days
SKU00001,Power Bank Essential,Electronics,SEL0136,3209.09,2287.34,0.86,1.474,C,Supplier 46,4
SKU00002,Sunglasses Lite,Fashion,SEL0077,218.0,137.81,0.87,0.746,B,Supplier 34,4
SKU00003,Sunscreen Lite,Beauty,SEL0010,1696.46,1314.42,0.46,0.44,B,Supplier 46,13
SKU00004,Sunscreen Plus,Beauty,SEL0010,716.52,557.2,3.18,4.399,A,Supplier 18,9
SKU00005,LED Lamp Deluxe,Home,SEL0017,130.56,94.7,3.94,4.989,B,Supplier 33,10
SKU00006,Tea Pack Essential,Grocery,SEL0118,890.85,687.85,1.98,2.914,C,Supplier 20,10
SKU00007,Perfume Max,Beauty,SEL0035,2729.77,2329.44,3.71,6.664,A,Supplier 36,12
SKU00008,Cooking Oil 1L Pro,Grocery,SEL0008,2655.88,2301.12,1.55,1.308,A,Supplier 42,3
SKU00009,Sneakers Classic,Fashion,SEL0094,2044.92,1444.57,6.8,5.485,C,Supplier 32,9
SKU00010,Lipstick Classic,Beauty,SEL0093,2983.52,1943.7,2.07,4.319,B,Supplier 58,4
SKU00011,Keyboard Deluxe,Electronics,SEL0091,6654.15,4389.51,2.58,4.951,C,Supplier 18,8
SKU00012,Sneakers Max,Fashion,SEL0033,981.55,828.21,0.29,0.373,A,Supplier 42,15
SKU00013,Atta 10kg Essential,Grocery,SEL0025,2645.75,1784.82,2.57,5.258,C,Supplier 14,10
SKU00014,Football Classic,Sports,SEL0019,10242.15,8341.7,4.08,8.929,A,Supplier 55,3
SKU00015,Dumbbell Set Deluxe,Sports,SEL0003,8508.78,7048.89,7.18,14.594,C,Supplier 10,10
SKU00016,Women's Kurti Classic,Fashion,SEL0094,246.33,173.77,2.39,4.132,C,Supplier 12,4
SKU00017,Yoga Mat Plus,Sports,SEL0003,4377.98,2836.86,2.07,3.426,C,Supplier 31,12
SKU00018,Mouse Plus,Electronics,SEL0060,12268.36,8731.17,6.08,13.235,B,Supplier 55,15
SKU00019,Cushion Cover Pro,Home,SEL0078,13244.02,9568.66,3.29,3.065,C,Supplier 39,15
SKU00020,Smartwatch Plus,Electronics,SEL0060,2944.67,1860.54,1.47,1.587,C,Supplier 59,11
SKU00021,Exam Guide Classic,Books,SEL0137,1777.58,1201.01,7.03,9.355,C,Supplier 6,14
SKU00022,Charger Essential,Electronics,SEL0112,13238.94,9412.88,0.88,1.818,C,Supplier 51,7
SKU00023,Storage Box Pro,Home,SEL0120,3735.93,2516.42,0.23,0.499,B,Supplier 48,4
SKU00024,Sunglasses Deluxe,Fashion,SEL0108,1315.39,1016.84,4.89,7.889,B,Supplier 1,9
SKU00025,USB Cable Deluxe,Electronics,SEL0091,7003.01,5654.27,3.05,4.123,A,Supplier 20,8
SKU00026,Cooking Oil 1L Plus,Grocery,SEL0025,1392.86,881.72,1.99,1.868,C,Supplier 35,11
SKU00027,LED Lamp Classic,Home,SEL0133,3070.28,2488.89,4.2,6.114,B,Supplier 8,15
SKU00028,Rice 5kg Lite,Grocery,SEL0007,3465.24,2400.36,3.99,3.81,B,Supplier 8,6
SKU00029,Cricket Bat Essential,Sports,SEL0045,16382.54,10530.39,7.88,17.141,C,Supplier 35,14
SKU00030,Denim Jeans Pro,Fashion,SEL0011,1113.36,795.94,0.82,1.627,C,Supplier 24,4
SKU00031,Sneakers Classic,Fashion,SEL0082,819.42,670.48,6.82,11.034,C,Supplier 44,7
SKU00032,Resistance Band Max,Sports,SEL0045,7319.59,4905.87,6.19,6.744,C,Supplier 25,13
SKU00033,Cricket Bat Deluxe,Sports,SEL0019,1620.21,1276.72,6.78,7.128,B,Supplier 4,6
SKU00034,Women's Kurti Classic,Fashion,SEL0068,2744.4,1790.1,7.0,8.925,C,Supplier 43,11
SKU00035,Moisturizer Classic,Beauty,SEL0038,700.1,445.07,7.11,13.426,C,Supplier 17,8
SKU00036,Sneakers Lite,Fashion,SEL0074,1836.13,1364.59,1.1,1.074,C,Supplier 6,9
SKU00037,Resistance Band Deluxe,Sports,SEL0073,2840.74,2029.84,1.7,1.963,A,Supplier 23,15
SKU00038,Smartwatch Deluxe,Electronics,SEL0018,5570.3,3912.67,3.75,5.102,C,Supplier 39,13
SKU00039,Mouse Deluxe,Electronics,SEL0029,14591.31,9834.23,3.78,3.833,C,Supplier 41,13
SKU00040,USB Cable Pro,Electronics,SEL0052,6273.41,4161.45,5.0,9.256,C,Supplier 49,10
SKU00041,Exam Guide Deluxe,Books,SEL0032,1614.48,1123.07,0.07,0.153,B,Supplier 52,15
SKU00042,Lipstick Lite,Beauty,SEL0010,446.13,366.12,5.08,6.858,C,Supplier 39,15
SKU00043,Denim Jeans Essential,Fashion,SEL0048,1706.99,1179.69,4.82,7.046,C,Supplier 32,4
SKU00044,USB Cable Classic,Electronics,SEL0052,12494.95,8162.88,0.37,0.529,C,Supplier 45,5
SKU00045,Women's Kurti Deluxe,Fashion,SEL0113,1956.28,1351.96,2.45,5.21,B,Supplier 44,7
SKU00046,Lipstick Max,Beauty,SEL0111,2102.46,1426.46,4.1,8.487,B,Supplier 12,10
SKU00047,Bluetooth Speaker Max,Electronics,SEL0098,6666.28,4945.23,1.05,0.975,C,Supplier 8,13
SKU00048,Charger Plus,Electronics,SEL0099,409.34,315.62,1.62,3.061,C,Supplier 45,9
SKU00049,Sunscreen Plus,Beauty,SEL0038,467.42,366.94,1.15,1.376,C,Supplier 54,15
SKU00050,Notebook Pack Classic,Books,SEL0137,2019.76,1378.09,7.63,12.621,B,Supplier 19,7
SKU00051,Men's T-Shirt Max,Fashion,SEL0094,3246.85,2441.51,5.5,4.579,B,Supplier 42,15
SKU00052,Children's Storybook Plus,Books,SEL0132,1787.46,1137.66,6.84,8.558,C,Supplier 42,10
SKU00053,Sneakers Plus,Fashion,SEL0074,1094.3,868.57,7.31,15.303,C,Supplier 56,12
SKU00054,Men's T-Shirt Essential,Fashion,SEL0147,2872.0,1923.43,3.87,5.569,B,Supplier 36,6
SKU00055,Formal Shirt Max,Fashion,SEL0097,963.61,681.63,3.31,3.662,C,Supplier 18,10
SKU00056,Storage Box Classic,Home,SEL0130,220.54,169.48,6.39,12.619,A,Supplier 42,13
SKU00057,Atta 10kg Pro,Grocery,SEL0117,1608.41,1005.65,1.58,1.605,B,Supplier 24,14
SKU00058,Sunscreen Deluxe,Beauty,SEL0093,2897.83,2453.01,1.15,2.193,B,Supplier 29,14
SKU00059,Cookware Set Plus,Home,SEL0133,2154.6,1413.19,1.45,2.02,C,Supplier 15,15
SKU00060,Denim Jeans Plus,Fashion,SEL0076,2632.62,1649.08,8.0,12.184,A,Supplier 41,4
SKU00061,Yoga Mat Deluxe,Sports,SEL0110,5259.74,3874.45,3.43,2.991,C,Supplier 46,13
SKU00062,Cookware Set Essential,Home,SEL0054,15193.82,9998.87,3.36,4.201,C,Supplier 43,9
SKU00063,Cookware Set Lite,Home,SEL0121,13028.2,10724.93,7.04,6.579,A,Supplier 19,11
SKU00064,Cookware Set Pro,Home,SEL0081,816.04,709.46,3.52,6.633,A,Supplier 20,6
SKU00065,Charger Essential,Electronics,SEL0098,2532.59,2082.57,6.89,13.452,C,Supplier 27,3
